"Nome Produto";"Nº Produto";"Produto Ativo";"Cód. Produto";Fabricante;"Categoria de Produto";Fornecedor;"Sub Categoria";"Cód. Fornecedor";Website;"Ficha do Produto";"Cód. Fabricante";"Plano de Contas";"Data Criação";"Criado Por";"Data Modificação";"Última Edição";"Comprimento (mm)";"Largura (mm)";"Espessura (mm)";"Preço Unitário";"Preço Custo";"Categoria de Impostos";"Comissão %";"Unidade Utilizada";"Qtd. Uni";"Qtd. Stock";"Nível Reabastecimento";Responsável;"Qtd. Última Compra";"Imagem Produto";Descrição;"Detalhe "
"Colar c/ Bola Cor de Rosa Dourado";PRO0091;1;;Imortalis;Joias;;Colares;;;;;;"03-02-2024 16:55:41";marcop;"24-04-2024 20:35:02";anap;0;;;8.99;;;0;Each;1.00;'-2.000;0;admin;0;IMG_4944.JPEG;;
"Colar c/ 2 Trevos 1 c/ Branco Perola Dourado";PRO0092;1;;Imortalis;Joias;;Colares;;;;;;"03-02-2024 16:58:36";marcop;"13-02-2024 17:59:39";marcop;0;;;8.99;;;0;Each;1.00;1.000;0;admin;0;IMG_4942.JPEG;;
"Colar c/ 2 Trevos 1 c/ Branco Perola Prateado";PRO0093;1;;Imortalis;Joias;;Colares;;;;;;"03-02-2024 16:59:01";marcop;"13-02-2024 18:01:31";marcop;0;;;8.99;;;0;Each;1.00;1.000;0;admin;0;IMG_4940.JPEG;;
"Bijuteria Janeiro";PRO0094;1;;Imortalis;Joias;;Diversos;;;;;;"03-02-2024 17:15:17";marcop;"05-02-2024 15:51:18";marcop;0;;;;;;0;Each;1.00;1000000.000;0;marcop;0;;;
"Chapa Militar";PRO0095;1;;Imortalis;Joias;;Acessórios;;;;;;"03-02-2024 17:22:10";marcop;"18-03-2026 19:14:44";marcop;0;;;5;0.35;;0;Each;1.00;'-68.000;0;marcop;0;Captura-de-ecr__-2024-02-03-172143.png,56686313-499b-452b-bc38-e52f0434b4b3.jpeg;;
"SMS API";PRO0096;1;;"Fam Art";Outros;;Diversos;;;;;;"03-02-2024 17:29:24";marcop;"05-02-2024 15:46:59";marcop;0;;;;;;0;Each;1.00;1000001.000;0;marcop;0;;;
"Castcryl Opal Black 4881 Acrylic Sheet";PRO0097;1;;"Fam Art";"Matéria Prima";Vendors::::Dimatur;Acrilico;;;;AV48812030152503;;"06-02-2024 20:38:43";marcop;"06-02-2024 20:38:43";marcop;2030;1525;3;;;;0;Each;1.00;1000001.000;0;marcop;0;;;
"Castcryl Opal White 2006 Acrylic Sheet";PRO0098;1;;"Fam Art";"Matéria Prima";Vendors::::Dimatur;Acrilico;;;;AV20062030152503;;"06-02-2024 20:39:35";marcop;"06-02-2024 20:39:35";marcop;2030;1525;3;;;;0;Each;1.00;1000003.000;0;marcop;0;;;
"7955MPL Adhesive Transfer Foil (130µ)";PRO0099;1;;"Fam Art";"Matéria Prima";Vendors::::Dimatur;Adesivos;;;;7955MP06100914-005;;"06-02-2024 20:40:08";marcop;"06-02-2024 20:41:19";marcop;610;914;;;;;0;Each;1.00;1000000.000;0;marcop;0;;;
"Stone Color Fill SUS196 White (28,5g)";PRO0100;1;;"Fam Art";"Matéria Prima";Vendors::::Dimatur;Diversos;;;;SUS196;;"06-02-2024 20:40:59";marcop;"06-02-2024 20:40:59";marcop;0;;;;;;0;Each;1.00;1000001.000;0;marcop;0;;;
"Espátula Rubber 130mm Blue";PRO0101;1;;"Fam Art";"Matéria Prima";Vendors::::Dimatur;Diversos;;;;ASESRUBBERCY13;;"06-02-2024 20:42:09";marcop;"06-02-2024 20:42:09";marcop;0;;;;;;0;Each;1.00;1000005.000;0;marcop;0;;;
"SMD 3 LED Hard Strip Bar Light IP6 Cold White";PRO0102;1;;"Fam Art";"Matéria Prima";;LED;;;;;;"07-02-2024 20:42:46";marcop;"16-02-2024 15:50:38";marcop;0;;;8;3;;0;Each;20.00;98.000;0;marcop;0;led.png;;
"Gravação Fotografia em Prata";PRO0103;1;;"Fam Art";Outros;;"Gravação / Corte";;;;;;"09-02-2024 22:17:21";marcop;"26-11-2024 18:23:58";marcop;0;;;3;;;0;Each;1.00;999985.000;0;marcop;0;;;
"Parafusos 3x12";PRO0104;1;;"Fam Art";"Matéria Prima";;Parafusos;;;;;;"09-02-2024 22:28:53";marcop;"09-02-2024 22:28:53";marcop;0;;;;1.69;;0;Each;1.00;1000000.000;0;marcop;0;;;
"Esquadro ANG 20x20mm zincado";PRO0105;1;;"Fam Art";"Matéria Prima";;Parafusos;;;;;;"09-02-2024 22:29:43";marcop;"09-02-2024 22:29:43";marcop;0;;;;0.35;;0;Each;1.00;1000000.000;0;marcop;0;;;
Provisório;PRO0106;1;;"Fam Art";"Eventos Diversos";;Placas;;;;;;"12-02-2024 19:10:22";josep;"28-06-2025 11:41:30";josep;0;;;;;;0;Each;1.00;999997.000;0;josep;0;;;
"Conjunto Colar e Brincos trevo c/ brilhantes redondo";PRO0108;1;;Imortalis;Joias;;Conjuntos;;;;;;"13-02-2024 18:11:06";marcop;"17-12-2025 20:33:55";marcop;0;;;8.99;;;0;Each;1.00;'-1.000;0;admin;0;IMG_4899.JPEG;;
"Brincos Trevo Preto duplo";PRO0109;1;;Imortalis;Joias;;Brincos;;;;;;"13-02-2024 18:13:49";marcop;"13-02-2024 18:30:52";marcop;0;;;10.99;;;0;Each;1.00;1.000;0;admin;0;IMG_4957.JPEG;;
"Brincos Standard Pérola Branca c/ Rebordo prateado";PRO0110;1;;Imortalis;Joias;;Brincos;;;;;;"13-02-2024 18:22:17";marcop;"13-02-2024 18:22:17";marcop;0;;;4.99;;;0;Each;1.00;3.000;0;admin;0;IMG_4969.JPEG;;
"Brincos Standard Pérola Branca Simples Prateado";PRO0111;1;;Imortalis;Joias;;Brincos;;;;;;"13-02-2024 18:23:29";marcop;"13-02-2024 18:23:29";marcop;0;;;4.99;;;0;Each;1.00;3.000;0;admin;0;IMG_4967.JPEG;;
"Brincos Standard Bola Simples Prateada";PRO0112;1;;Imortalis;Joias;;Brincos;;;;;;"13-02-2024 18:25:20";marcop;"13-02-2024 18:25:20";marcop;0;;;4.99;;;0;Each;1.00;3.000;0;admin;0;IMG_4962.JPEG;;
"Brincos Standard Bola Simples Dourada";PRO0113;1;;Imortalis;Joias;;Brincos;;;;;;"13-02-2024 18:25:42";marcop;"13-02-2024 18:25:42";marcop;0;;;4.99;;;0;Each;1.00;3.000;0;admin;0;IMG_4961.JPEG;;
"Brincos Standard Cristal c/ Rebordo Prateado";PRO0114;1;;Imortalis;Joias;;Brincos;;;;;;"13-02-2024 18:27:17";marcop;"13-02-2024 18:27:17";marcop;0;;;4.99;;;0;Each;1.00;3.000;0;admin;0;IMG_4964.JPEG;;
"Brincos Standard Cristal c/ Rebordo Dourado";PRO0115;1;;Imortalis;Joias;;Brincos;;;;;;"13-02-2024 18:27:44";marcop;"13-02-2024 18:27:44";marcop;0;;;4.99;;;0;Each;1.00;3.000;0;admin;0;IMG_4963.JPEG;;
"Brincos Standard Cristal Dourado";PRO0116;1;;Imortalis;Joias;;Brincos;;;;;;"13-02-2024 18:28:14";marcop;"03-10-2025 17:27:23";marcop;0;;;4.99;;;0;Each;1.00;2.000;0;admin;0;IMG_4971.JPEG;;
"Brincos Standard Cristal Prateado";PRO0117;1;;Imortalis;Joias;;Brincos;;;;;;"13-02-2024 18:29:22";marcop;"13-02-2024 18:29:22";marcop;0;;;4.99;;;0;Each;1.00;3.000;0;admin;0;IMG_4972.JPEG;;
"Brincos Standard Redondo c/ Brilhantes";PRO0118;1;;Imortalis;Joias;;Brincos;;;;;;"13-02-2024 18:30:01";marcop;"13-02-2024 18:30:09";marcop;0;;;4.99;;;0;Each;1.00;6.000;0;admin;0;IMG_4974.JPEG;;
"MDF Dupla Face Branco 3MM";PRO0119;1;;"Fam Art";"Matéria Prima";;Madeira;;;;;;"14-02-2024 17:46:49";marcop;"14-02-2024 18:19:34";marcop;0;;;26.25;17.87;;0;Each;1.00;19.000;0;marcop;0;;;
"MDF Folheado Diversas 4MM";PRO0120;1;;"Fam Art";"Matéria Prima";;Madeira;;;;;;"14-02-2024 18:16:26";marcop;"14-02-2024 18:19:55";marcop;2500;1220;;32.85;18.77;;0;Each;1.00;0.000;0;marcop;0;;;
"Primelux Driver Slim 60A IP20 12VDC Fonte";PRO0121;1;;"Fam Art";Outros;"Vendors::::J.M.M Gonçalves, LDA";Diversos;;;;;;"15-02-2024 11:10:15";marcop;"09-04-2024 10:47:59";marcop;0;;;20;12.13;;0;Each;1.00;0.000;0;marcop;0;AC4080100XX99-SLIM-100W.png;"Fonte Led";
"Letreiro Led";PRO0122;1;;"Fam Art";Outros;;Decoração;;;;;;"16-02-2024 15:26:48";marcop;"16-02-2024 15:51:11";marcop;0;;;;;;0;Each;1.00;999998.000;0;marcop;0;Imagem-WhatsApp-2024-02-14-__s-21.12.47_2a3467ed.jpg;;
"Quadro personalizado c/foto e texto";PRO0123;1;;"Fam Art";Outros;;Decoração;;;;;;"17-02-2024 12:54:33";marcop;"23-09-2025 18:27:23";josep;0;;;;;;0;Each;1.00;999998.000;0;marcop;0;Imagem-WhatsApp-2024-02-17-__s-12.38.26_b5420603.jpg;;
"Corações MDF Folheado";PRO0124;1;;"Fam Art";Casamentos;;Lembranças;;;;;;"17-02-2024 17:26:48";marcop;"26-03-2024 20:00:14";marcop;0;;;;;;0;Each;1.00;999760.000;0;marcop;0;Captura-de-ecr__-2024-02-17-172148.png;;
"Caixa Velas Modelo 1";PRO0125;1;;"Fam Art";Outros;;Decoração;;;;;;"23-02-2024 16:36:46";marcop;"19-12-2025 17:59:05";josep;0;;;21.99;;;0;Each;1.00;999992.000;0;admin;0;;;
"Anúncios Fam Art";PRO0126;1;;"Fam Art";Outros;;Anuncios;;;;;;"23-02-2024 22:46:40";marcop;"23-02-2024 22:46:40";marcop;0;;;;;;0;Each;1.00;1000003.000;0;marcop;0;;;
"Imans Personalizados";PRO0127;1;;"Fam Art";Outros;;Iman;;;;;;"24-02-2024 13:17:43";marcop;"18-03-2026 19:29:42";marcop;80;80;3;;;;0;Each;1.00;999722.000;0;marcop;0;;;
"Conjunto 2 Suportes";PRO0128;1;;"Fam Art";Outros;;Diversos;;;;;;"24-02-2024 15:20:08";marcop;"06-12-2024 18:15:14";marcop;60;12;3;;;;0;Each;2.00;'-112.000;0;marcop;0;suportes.png;;
Avioneta;PRO0129;1;;"Fam Art";"Eventos Diversos";;Placas;;;;;;"27-02-2024 15:18:19";marcop;"27-02-2024 15:18:19";marcop;0;;;25;;;0;Each;1.00;999999.000;0;marcop;0;;;
"Super Pai";PRO0130;1;;"Fam Art";"Eventos Diversos";;"Dia Do Pai";;;;;;"28-02-2024 00:17:55";marcop;"15-12-2025 20:12:31";josep;0;;;15;;;0;Each;1.00;999996.000;0;marcop;0;Captura-de-ecr__-2024-02-28-001712.png;;
"Convite Padrinhos - Puzzle";PRO0131;1;;"Fam Art";Batizados;;"Convites Padrinhos";;;;;;"29-02-2024 22:08:55";marcop;"14-08-2024 15:44:24";marcop;150;150;;12;;;0;Each;1.00;999996.000;0;marcop;0;Captura-de-ecr__-2024-02-29-220831.png;;
"Convite Padrinhos - Urso";PRO0132;1;;"Fam Art";Batizados;;"Convites Padrinhos";;;;;;"29-02-2024 22:11:45";marcop;"31-10-2025 17:19:16";marcop;120;120;;12;;;0;Each;1.00;999983.000;0;marcop;0;Imagem-WhatsApp-2024-02-29-__s-22.11.12_8c97df0c.jpg;;
"Convite Padrinhos - Circular c/ foto";PRO0133;1;;"Fam Art";Batizados;;"Convites Padrinhos";;;;;;"29-02-2024 22:16:04";marcop;"18-03-2026 19:20:42";marcop;120;120;;16;;;0;Each;1.00;999998.000;0;marcop;0;Imagem-WhatsApp-2024-02-29-__s-22.14.41_13dc38bf.jpg;;
"Quadro Papá";PRO0134;1;;"Fam Art";"Eventos Diversos";;"Dia Do Pai";;;;;;"01-03-2024 18:37:29";josep;"30-04-2026 18:30:25";josep;0;;;17;;;0;Each;1.00;999996.000;0;josep;0;Quadro-papa.png;;
"Placa de identificação oval";PRO0135;1;;"Fam Art";"Especial Patudos";;"Chapinhas Identificação";;;;;;"02-03-2024 15:20:05";marcop;"02-03-2024 15:21:41";marcop;0;;;;;;0;Each;1.00;0.000;0;marcop;0;Captura-de-ecr__-2024-03-02-151907.png;;
"Pano Azul";PRO0137;1;;"Fam Art";Outros;;Decoração;;;;;;"03-03-2024 12:10:45";josep;"03-03-2024 12:10:45";josep;0;;;;1;;0;Each;1.00;1000000.000;0;josep;0;;;
"Pano Dourado";PRO0138;1;;"Fam Art";Outros;;Decoração;;;;;;"03-03-2024 12:10:53";josep;"03-03-2024 12:10:53";josep;0;;;;1;;0;Each;1.00;1000000.000;0;josep;0;;;
"Pano Verde";PRO0139;1;;"Fam Art";Outros;;Decoração;;;;;;"03-03-2024 12:11:03";josep;"03-03-2024 12:11:03";josep;0;;;;1;;0;Each;1.00;1000000.000;0;josep;0;;;
"Caixa Vinho 2G";PRO0140;1;;"Fam Art";Outros;;Diversos;;;;;;"03-03-2024 16:27:58";josep;"11-12-2024 10:52:45";marcop;0;;;30;;;0;Each;1.00;999998.000;0;josep;0;WhatsApp-Image-2024-03-03-at-15.50.30.jpeg;;
"Moldura Dia do Pai";PRO0141;1;;"Fam Art";"Eventos Diversos";;"Dia Do Pai";;;;;;"05-03-2024 16:26:26";marcop;"27-02-2026 17:16:52";marcop;0;;;16;;;0;Each;1.00;1000000.000;0;josep;0;Imagem-WhatsApp-2024-02-23-__s-22.45.00_bf063baa.jpg;;
"Placa Personalizada";PRO0142;1;;"Fam Art";"Eventos Diversos";;Placas;;;;;;"06-03-2024 15:46:39";marcop;"28-07-2026 15:33:16";marcop;0;;;7;;;0;Each;1.00;999601.000;0;marcop;0;429823142_388960233855652_2143033714590029661_n.png;;
"Saddle Collection SC075 Chestnut";PRO0143;1;;"Fam Art";"Matéria Prima";Vendors::::Dimatur;Diversos;;;;SC075;;"07-03-2024 18:57:42";marcop;"07-03-2024 18:57:42";marcop;0;;;;;;0;Each;1.00;0.000;0;marcop;0;Captura-de-ecr__-2024-03-07-185720.png;"Saddle Collection SC075 Chestnut 60,96cm x 30,48cm";
"Bronze/White LM922-872 Escovado";PRO0144;1;;"Fam Art";"Matéria Prima";Vendors::::Dimatur;Acrilico;;;;LM922-872;;"07-03-2024 18:59:08";marcop;"07-03-2024 19:00:47";marcop;0;;;;;;0;Each;1.00;0.000;0;marcop;0;Captura-de-ecr__-2024-03-07-185850.png;"<table>
	<tbody>
		<tr>
			<td>LaserMax Bronze/White LM922-872 Escovado 1245x613x1,6mm</td>
		</tr>
	</tbody>
</table>
<br />
 ";
"Aluminum/Black LM922-354 Escovado";PRO0145;1;;"Fam Art";"Matéria Prima";Vendors::::Dimatur;Acrilico;;;;LM922-354;;"07-03-2024 19:00:25";marcop;"07-03-2024 19:01:14";marcop;0;;;;;;0;Each;1.00;0.000;0;marcop;0;429823142_388960233855652_2143033714590029661_n.png,Captura-de-ecr__-2024-03-07-185953.png;"LaserMax Aluminum/Black LM922-354 Escovado 1245x 613x1,6mm";
"Crystal Clear 1000 Acrylic Sheet";PRO0146;1;;"Fam Art";"Matéria Prima";Vendors::::Dimatur;Acrilico;;;;AV10002030152503;;"07-03-2024 19:02:42";marcop;"11-03-2026 11:18:19";marcop;0;;;;;;0;Each;1.00;2.000;0;marcop;0;Captura-de-ecr__-2024-03-07-190219.png;"<table>
	<tbody>
		<tr>
			<td>Castcryl Crystal Clear 1000 Acrylic Sheet 2030x1525x 3mm</td>
		</tr>
	</tbody>
</table>
<br />
Acrilico Transparente";
"Gloss Black/Gold LM922-427 Brilhante";PRO0147;1;;"Fam Art";"Matéria Prima";Vendors::::Dimatur;Acrilico;;;;LM922-427;;"07-03-2024 19:03:46";marcop;"07-03-2024 19:03:46";marcop;0;;;;;;0;Each;1.00;0.000;0;marcop;0;Captura-de-ecr__-2024-03-07-190321.png;"<table>
	<tbody>
		<tr>
			<td>LaserMax Gloss Black/Gold LM922-427 Brilhante 1245x613x1,6mm</td>
		</tr>
	</tbody>
</table>";
"Luz solar impermeável exterior";PRO0148;1;;"Fam Art";"Matéria Prima";Vendors::::Aliexpress;LED;;https://pt.aliexpress.com/item/1005006216325622.html?spm=a2g0o.order_list.order_list_main.4.6882caa4;;;;"07-03-2024 19:13:59";marcop;"07-03-2024 19:13:59";marcop;0;;;;;;0;Each;1.00;1000000.000;0;marcop;0;Captura-de-ecr__-2024-03-07-191216.png;;
"Pendente Circulo Ø20 c/feitio Prata";PRO0149;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:00:19";josep;"04-01-2025 12:37:52";marcop;0;;;5.9;;;0;Each;1.00;4.000;0;josep;0;IMG_20250104_120744.jpg,IMG_20250104_120743.jpg;;
"Pendente Circulo Ø20 c/feitio Dourado";PRO0150;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:00:43";josep;"04-06-2025 18:35:42";marcop;0;;;6.9;;;0;Each;1.00;3.000;0;josep;0;IMG_20250104_120839.jpg,IMG_20250104_120840.jpg;;
"Pendente Circulo Ø25 c/feitio Prata";PRO0151;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:01:10";josep;"04-01-2025 12:36:21";marcop;0;;;6.9;;;0;Each;1.00;4.000;0;josep;0;IMG_20250104_120840.jpg,IMG_20250104_120839.jpg;;
"Pendente circulo Ø25 C/feitio Dourado";PRO0152;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:02:41";josep;"04-01-2025 12:44:22";marcop;0;;;6.9;;;0;Each;1.00;0.000;0;josep;0;IMG_20250104_120820.jpg,IMG_20250104_120819.jpg;;
"Pendente circulo Ø30 C/Brilhantes Prata";PRO0153;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:03:13";josep;"09-06-2025 17:13:29";marcop;0;;;8.9;;;0;Each;1.00;8.000;0;josep;0;IMG_20250104_122337_1.jpg;;
"Pendente circulo Ø30 C/Brilhantes Dourado";PRO0154;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:03:56";josep;"12-12-2025 17:33:16";marcop;0;;;8.9;;;0;Each;1.00;7.000;0;josep;0;IMG_20250104_121529.jpg;;
"Pendente Coração Prata c/feitio";PRO0156;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:08:25";josep;"01-05-2025 12:39:00";josep;0;;;5.9;;;0;Each;1.00;1.000;0;josep;0;IMG_20250104_120551.jpg,IMG_20250104_120550.jpg;;
"Pendente Retangular Dourado/Prata";PRO0157;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:08:45";josep;"04-01-2025 12:53:19";marcop;0;;;9.9;;;0;Each;1.00;5.000;0;josep;0;IMG_5853.jpeg,IMG_20250104_120637_1.jpg,IMG_20250104_120637.jpg;;
"Pendente Retangular Prata/Dourado";PRO0158;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:08:58";josep;"04-01-2025 12:54:56";marcop;0;;;9.9;;;0;Each;1.00;4.000;0;josep;0;IMG_5854.jpeg,IMG_20250104_120619_1.jpg,IMG_20250104_120619.jpg;;
"Pendente Trevo c/brilhante Dourado";PRO0159;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:09:17";josep;"04-01-2025 12:39:25";marcop;0;;;5.9;;;0;Each;1.00;4.000;0;josep;0;IMG_20250104_120722.jpg,IMG_20250104_120721.jpg;;
"Pendentes trevo c/feitio prata";PRO0160;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:09:33";josep;"04-01-2025 13:09:05";marcop;0;;;5.9;;;0;Each;1.00;5.000;0;josep;0;IMG_5852.jpeg,IMG_20250104_120701_1.jpg,IMG_20250104_120701.jpg;;
"Pendente Pata de Cão";PRO0161;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:09:57";josep;"04-01-2025 13:08:38";marcop;0;;;4.9;;;0;Each;1.00;5.000;0;josep;0;IMG_5861.jpeg,IMG_20250104_120329.jpg,IMG_20250104_120329_1.jpg;;
"Pendente Gatos Dourados";PRO0162;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:10:14";josep;"04-01-2025 13:08:00";marcop;0;;;4.9;;;0;Each;1.00;5.000;0;josep;0;IMG_5860.jpeg,IMG_20250104_120408_1.jpg,IMG_20250104_120401_2.jpg;;
"Pendente Finalistas Cartola";PRO0163;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:10:38";josep;"04-01-2025 13:07:00";marcop;0;;;6.9;;;0;Each;1.00;11.000;0;josep;0;IMG_5859.jpeg,IMG_20250104_120520.jpg,IMG_20250104_120516.jpg;;
"Pendente Bebes Dourados";PRO0164;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:11:03";josep;"04-01-2025 13:06:28";marcop;0;;;6.9;;;0;Each;1.00;9.000;0;josep;0;IMG_5858.jpeg,IMG_20250104_120457.jpg,IMG_20250104_120457_1.jpg;;
"Pendente Bebes Prata";PRO0165;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:11:21";josep;"04-01-2025 13:06:03";marcop;0;;;5.9;;;0;Each;1.00;5.000;0;josep;0;IMG_5857.jpeg,IMG_20250104_120432.jpg,IMG_20250104_120432_1.jpg;;
"Pendente Circulo Madrinha Dourado";PRO0166;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:11:43";josep;"04-01-2025 12:59:59";marcop;0;;;5.9;;;0;Each;1.00;2.000;0;josep;0;IMG-20240321-WA0002.jpg;;
"Pendente Circulo Madrinha Prateado";PRO0167;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:22:14";josep;"04-01-2025 12:50:24";marcop;0;;;4.9;;;0;Each;1.00;0.000;0;josep;0;IMG-20240321-WA0010.jpg;;
"Pendente Oval Dourado";PRO0168;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:22:32";josep;"04-01-2025 12:54:33";marcop;0;;;5.9;;;0;Each;1.00;2.000;0;josep;0;IMG-20240321-WA0007.jpg,IMG_20250104_115811_1.jpg,IMG_20250104_115812.jpg;;
"Pendente Menino Dourado";PRO0169;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:22:49";josep;"04-01-2025 12:56:19";marcop;0;;;4.9;;;0;Each;1.00;5.000;0;josep;0;IMG-20240321-WA0008.jpg,IMG_20250104_115620.jpg,IMG_20250104_115621.jpg;;
"Pendente Menina Dourado";PRO0170;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:22:58";josep;"04-01-2025 12:55:47";marcop;0;;;4.9;;;0;Each;1.00;3.000;0;josep;0;IMG_5831.jpeg,IMG_20250104_115645.jpg,IMG_20250104_115643.jpg;;
"Pendente Pés Dourado";PRO0171;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:24:15";josep;"04-01-2025 13:12:47";marcop;0;;;5.9;;;0;Each;1.00;5.000;0;josep;0;IMG_5833.jpeg,IMG_20250104_115522_1.jpg,IMG_20250104_115523.jpg;;
"Pendente Pés Prateado";PRO0172;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:24:25";josep;"04-01-2025 12:45:17";marcop;0;;;4.9;;;0;Each;1.00;3.000;0;josep;0;IMG_20250104_115456_2.jpg,IMG_20250104_115456_1.jpg;;
"Pendente Retangular 205 Prata";PRO0173;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:25:05";josep;"04-01-2025 17:24:52";marcop;0;;;5.9;0.35;;0;Each;1.00;15.000;0;josep;0;IMG_20250104_121242.jpg,IMG_20250104_121241.jpg;;
"Pendente Circulo Ø15 Dourados";PRO0174;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:25:34";josep;"04-01-2025 12:28:30";marcop;0;;;4.9;;;0;Each;1.00;10.000;0;josep;0;IMG-20240321-WA0011.jpg,IMG_20250104_115428.jpg,IMG_20250104_115426.jpg;;
"Pendente Circulo Ø15 Prata";PRO0175;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:25:45";josep;"04-01-2025 12:27:40";marcop;0;;;4.9;0.25;;0;Each;1.00;4.000;0;josep;0;IMG-20240321-WA0014.jpg,IMG_20250104_115414_1.jpg,IMG_20250104_115415.jpg;;
"Pendente Coração Sra. Fátima";PRO0176;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:26:06";josep;"03-12-2025 18:09:11";marcop;0;;;5.9;;;0;Each;1.00;3.000;0;josep;0;IMG_20250104_115311.jpg,IMG_20250104_115310.jpg;;
"Pendente Coroa Sra. Fátima";PRO0177;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:26:18";josep;"25-05-2025 14:40:25";josep;0;;;5.9;;;0;Each;1.00;'-1.000;0;josep;0;IMG_20250104_115152.jpg,IMG_20250104_115151_1.jpg;;
"Circulo Prateado Ø8mm";PRO0178;1;;Imortalis;Joias;Vendors::::MaxiBiju;Acessórios;;;;;;"10-03-2024 16:26:41";josep;"04-01-2025 12:16:30";marcop;0;;;;;;0;Each;25.00;78.000;0;josep;0;;;
"Circulo Dourados Ø8mm";PRO0179;1;;Imortalis;Joias;Vendors::::MaxiBiju;Acessórios;;;;;;"10-03-2024 16:26:52";josep;"04-01-2025 12:16:24";marcop;0;;;6.9;;;0;Each;8.00;52.000;0;josep;0;;;
"Peça pendente dourado 4/9";PRO0180;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:27:19";josep;"14-03-2024 15:39:38";marcop;0;;;;;;0;Each;1.00;80.000;0;josep;0;;;
"Peça pendente prateado 4/9";PRO0181;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:28:01";josep;"10-03-2024 16:28:01";josep;0;;;;;;0;Each;1.00;0.000;0;josep;0;;;
"Peça pendente prateado 3/7";PRO0182;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:28:20";josep;"14-03-2024 15:39:44";marcop;0;;;;;;0;Each;1.00;80.000;0;josep;0;;;
"Peça pendente dourado 3/7";PRO0183;1;;Imortalis;Joias;Vendors::::MaxiBiju;Pendentes;;;;;;"10-03-2024 16:29:04";josep;"14-03-2024 15:39:54";marcop;0;;;;;;0;Each;1.00;50.000;0;josep;0;;;
"Argola dourada 08/6";PRO0184;1;;Imortalis;Joias;Vendors::::MaxiBiju;Acessórios;;;;;;"10-03-2024 16:29:20";josep;"04-01-2025 11:19:42";marcop;0;;;;;;0;Each;1.00;120.000;0;josep;0;;;
"Argola dourada 07/5";PRO0185;1;;Imortalis;Joias;Vendors::::MaxiBiju;Acessórios;;;;;;"10-03-2024 16:29:32";josep;"04-01-2025 11:21:05";marcop;0;;;;;;0;Each;90.00;182.000;0;josep;0;;;
